time	V(pos)	I(Iexample)
1.874543361950996e-003	-8.741110e-010	1.003653e-006
1.874543744621169e-003	-8.611719e-010	1.003650e-006
1.874544127502169e-003	-8.504872e-010	1.003647e-006
1.874544510205296e-003	-8.416726e-010	1.003644e-006
1.874544893058478e-003	-8.343946e-010	1.003641e-006
1.874545275785063e-003	-8.283896e-010	1.003638e-006
1.874545658618448e-003	-8.234319e-010	1.003635e-006
1.874546041361728e-003	-8.193409e-010	1.003632e-006
1.874546424181024e-003	-8.159635e-010	1.003629e-006
1.874546806936189e-003	-8.131764e-010	1.003626e-006
1.874547189745456e-003	-8.108756e-010	1.003623e-006
1.874547572509080e-003	-8.089768e-010	1.003619e-006
1.874547955311210e-003	-8.074094e-010	1.003616e-006
1.874548338080854e-003	-8.061158e-010	1.003613e-006
1.874548720877905e-003	-8.050479e-010	1.003610e-006
1.874549103651834e-003	-8.041666e-010	1.003607e-006
1.874549486445270e-003	-8.034391e-010	1.003604e-006
1.874549869222248e-003	-8.028386e-010	1.003601e-006
1.874550252013111e-003	-8.023430e-010	1.003598e-006
1.874550634792260e-003	-8.019340e-010	1.003595e-006
1.874551017581292e-003	-8.015962e-010	1.003592e-006
1.874551400361986e-003	-8.013176e-010	1.003589e-006
1.874551783149714e-003	-8.010875e-010	1.003586e-006
1.874552165931508e-003	-8.008976e-010	1.003583e-006
1.874552548718308e-003	-8.007409e-010	1.003580e-006
1.874552931500885e-003	-8.006116e-010	1.003577e-006
1.874553314287024e-003	-8.005048e-010	1.003574e-006
1.874553697070158e-003	-8.004167e-010	1.003570e-006
1.874554079855828e-003	-8.003439e-010	1.003567e-006
1.874554462639358e-003	-8.002839e-010	1.003564e-006
1.874554845424693e-003	-8.002343e-010	1.003561e-006
1.874555228208506e-003	-8.001934e-010	1.003558e-006
1.874555610993603e-003	-8.001596e-010	1.003555e-006
1.874555993777617e-003	-8.001318e-010	1.003552e-006
1.874556376562544e-003	-8.001088e-010	1.003549e-006
1.874556759346701e-003	-8.000898e-010	1.003546e-006
1.874557142131508e-003	-8.000741e-010	1.003543e-006
1.874557524915766e-003	-8.000611e-010	1.003540e-006
1.874557907700487e-003	-8.000505e-010	1.003537e-006
1.874558290484818e-003	-8.000417e-010	1.003534e-006
1.874558728153826e-003	-8.000336e-010	1.003530e-006
1.874559225039396e-003	-8.000263e-010	1.003526e-006
1.874559810579509e-003	-8.000197e-010	1.003522e-006
1.874560489880759e-003	-8.000141e-010	1.003516e-006
1.874561319181025e-003	-8.000094e-010	1.003509e-006
1.874562342824606e-003	-8.000058e-010	1.003501e-006
1.874563693041522e-003	-8.000031e-010	1.003490e-006
1.874565554560101e-003	-8.000013e-010	1.003476e-006
1.874568432247233e-003	-8.000004e-010	1.003453e-006
1.999989999991257e-003	-8.000000e-010	8.000007e-011
2.000000000000000e-003	-8.000000e-010	0.000000e+000
